video_id,duration_minutes,title_length,description_length,tags_count,has_thumbnail_custom,video_quality,category,language,has_subtitles,channel_subscribers,channel_age_months,previous_videos_count,avg_upload_frequency_days,comments_count,likes_count,shares_count,playlist_adds,promoted,upload_time,upload_day,total_views
VID00176,40,81,695.0,28.0,Sim,720p,Fitness,Inglês,Sim,189387,37.0,36,28,2551.0,25209,151.0,841,Não,Tarde,Sexta,523900
VID00766,19,90,409.0,15.0,Sim,480p,Gaming,Português,Sim,59126,44.0,363,14,3671.0,43506,1715.0,531,Não,Tarde,Seg-Qui,205855
VID02151,25,32,722.0,2.0,Sim,1080p,Tecnologia,Português,Sim,84866,58.0,242,4,7753.0,25688,4930.0,692,Não,Madrugada,Sábado,210224
VID00480,51,77,253.0,7.0,Sim,1080p,Culinária,Português,Não,599712,107.0,274,9,4406.0,12534,1014.0,299,Não,Noite,Seg-Qui,476667
VID01568,51,14,540.0,2.0,Sim,1080p,Vlogs,Português,Não,415259,76.0,125,19,1513.0,9766,1366.0,419,Não,Tarde,Sábado,380367
VID01318,38,57,415.0,35.0,Não,1080p,Educação,Português,Não,884694,39.0,267,19,954.0,19973,1855.0,98,Não,Manhã,Sábado,516700
VID01638,20,63,709.0,31.0,Sim,4K,Gaming,Português,Sim,459273,18.0,81,27,2217.0,11991,4501.0,906,Não,Tarde,Domingo,716617
VID02185,57,66,557.0,39.0,Sim,480p,Culinária,Português,Sim,432596,12.0,194,8,3134.0,19572,4612.0,203,Sim,Noite,Sábado,454657
VID00809,11,91,287.0,22.0,Não,720p,Vlogs,Português,Não,675153,71.0,24,11,3904.0,48225,920.0,860,Não,Manhã,Sábado,667665
VID01566,29,17,311.0,23.0,Sim,1080p,Fitness,Inglês,Sim,616812,8.0,69,20,6451.0,23938,2573.0,540,Sim,Manhã,Sexta,1402635
VID00044,45,93,899.0,47.0,Não,1080p,Culinária,Inglês,Sim,182736,62.0,400,1,5644.0,2071,1459.0,480,Sim,Manhã,Sábado,645001
VID00451,55,30,855.0,2.0,Não,1080p,Música,Inglês,Não,247710,7.0,395,24,9770.0,49253,2933.0,361,Não,Noite,Sábado,1353564
VID00782,28,33,85.0,10.0,Não,1080p,Tecnologia,Português,Não,499453,93.0,139,21,1063.0,44452,1505.0,970,Não,Noite,Seg-Qui,585927
VID00325,43,55,734.0,26.0,Sim,1080p,Educação,Inglês,Não,945213,71.0,212,26,1281.0,35357,1170.0,787,Não,Noite,Sexta,1515752
VID00840,46,29,880.0,5.0,Sim,1080p,Culinária,Português,Não,839751,60.0,207,11,8849.0,36002,4040.0,30,Não,Noite,Domingo,726554
VID00757,15,50,948.0,15.0,Não,1080p,Educação,Inglês,Não,806843,103.0,29,24,7527.0,8791,4236.0,186,Não,Tarde,Domingo,1334950
VID00974,41,79,984.0,24.0,Não,720p,Fitness,Português,Não,537931,68.0,57,13,1884.0,3164,2376.0,111,Não,Manhã,Sábado,383619
VID02298,37,92,912.0,48.0,Não,1080p,Fitness,Espanhol,Não,68837,52.0,169,7,8935.0,39387,4061.0,166,Não,Manhã,Sábado,272058
VID00510,59,59,153.0,14.0,Sim,720p,Música,Espanhol,Sim,931982,34.0,440,28,9453.0,46147,4380.0,728,Não,Noite,Domingo,2080170
VID00611,6,54,764.0,31.0,Sim,720p,Vlogs,Português,Não,445285,40.0,323,5,4705.0,30854,2890.0,456,Não,Madrugada,Domingo,461806
VID00621,2,96,520.0,38.0,Sim,480p,Culinária,Espanhol,Sim,205499,8.0,84,1,3092.0,49932,4001.0,890,Não,Madrugada,Seg-Qui,387189
VID02022,43,15,260.0,34.0,Sim,720p,Educação,Inglês,Não,934810,67.0,50,9,4085.0,41166,238.0,607,Não,Madrugada,Sexta,1541431
VID02059,12,43,373.0,,Sim,4K,Gaming,Português,Sim,251685,,159,29,2936.0,45884,,622,Não,Manhã,Domingo,527362
VID01377,28,39,969.0,8.0,Sim,1080p,Tecnologia,Português,Não,156906,42.0,159,18,8296.0,12567,2580.0,120,Não,Noite,Sexta,241971
VID00679,12,27,636.0,16.0,Sim,720p,Vlogs,Português,Sim,835915,39.0,402,16,1845.0,645,258.0,381,Não,Tarde,Seg-Qui,671031
VID01358,8,54,605.0,44.0,Sim,4K,Tecnologia,Português,Não,831843,100.0,144,1,8093.0,43779,1365.0,780,Não,Tarde,Sexta,934731
VID01232,57,11,761.0,43.0,Sim,1080p,Educação,Espanhol,Não,968775,80.0,453,8,1934.0,38276,1356.0,39,Não,Manhã,Seg-Qui,805767
VID02429,56,15,758.0,2.0,Não,1080p,Música,Português,Não,792257,91.0,40,28,7825.0,29836,751.0,815,Sim,Manhã,Domingo,1379190
VID02091,28,22,487.0,13.0,Não,720p,Vlogs,Inglês,Sim,362586,,296,5,59.0,9698,3178.0,696,Sim,Manhã,Sábado,970409
VID00737,17,39,964.0,32.0,Não,1080p,Gaming,Inglês,Sim,907176,4.0,397,4,5358.0,12521,3666.0,845,Não,Madrugada,Seg-Qui,4406107
VID00531,53,45,500.0,39.0,Sim,720p,Culinária,Inglês,Sim,250637,42.0,295,26,7693.0,20639,867.0,828,Não,Tarde,Domingo,677763
VID02485,43,13,659.0,4.0,Sim,4K,Culinária,Português,Sim,505024,11.0,74,1,6746.0,11447,59.0,982,Não,Manhã,Domingo,386546
VID00481,26,34,210.0,0.0,Não,4K,Educação,Espanhol,Não,60806,67.0,74,5,2609.0,12768,2021.0,600,Não,Noite,Sábado,165558
VID01132,57,20,541.0,41.0,Não,720p,Vlogs,Português,Não,362857,28.0,76,6,9436.0,31236,1416.0,471,Não,Noite,Domingo,399128
VID02381,7,83,749.0,45.0,Sim,480p,Vlogs,Português,Sim,938308,35.0,393,3,1545.0,10,504.0,551,Não,Noite,Domingo,765764
VID00970,14,95,523.0,41.0,Não,720p,Educação,Português,Não,349425,74.0,149,26,9530.0,29619,2981.0,161,Não,Tarde,Sábado,335987
VID02033,57,50,572.0,15.0,Não,1080p,Fitness,Português,Sim,732655,36.0,397,22,4783.0,30712,3834.0,101,Não,Noite,Seg-Qui,545369
VID01400,9,38,781.0,3.0,Não,1080p,Gaming,Português,Não,263151,88.0,267,5,7014.0,45528,1346.0,767,Sim,Madrugada,Sábado,534094
VID00802,7,89,239.0,39.0,Sim,720p,Gaming,Inglês,Não,439720,94.0,238,11,1229.0,2263,52.0,55,Não,Tarde,Domingo,1519443
VID00189,37,37,548.0,1.0,Sim,1080p,Educação,Inglês,Sim,500414,6.0,385,29,6125.0,490,3946.0,591,Não,Noite,Domingo,821600
VID01821,56,33,370.0,7.0,Sim,480p,Gaming,Português,Não,286142,41.0,129,23,8767.0,41353,4291.0,722,Não,Madrugada,Seg-Qui,508348
VID02131,32,50,555.0,43.0,Não,4K,Música,Português,Não,130097,115.0,316,24,7285.0,48243,2233.0,271,Não,Noite,Sábado,370140
VID02329,9,25,397.0,45.0,Sim,720p,Fitness,Inglês,Sim,655447,28.0,296,5,4345.0,13658,2097.0,335,Não,Madrugada,Sexta,1257655
VID01972,13,66,375.0,0.0,Sim,1080p,Fitness,Inglês,Sim,547013,114.0,296,26,9717.0,16466,1584.0,609,Não,Noite,Sábado,1166097
VID00252,38,45,500.0,23.0,Não,1080p,Música,Inglês,Não,915155,84.0,270,10,4840.0,7839,4928.0,508,Não,Manhã,Sábado,3731559
VID00260,29,56,623.0,37.0,Sim,1080p,Educação,Português,Não,748509,91.0,349,16,9147.0,39093,2288.0,980,Sim,Noite,Sexta,603738
VID01303,13,34,57.0,4.0,Sim,1080p,Tecnologia,Português,Não,422604,53.0,276,4,5051.0,6530,2065.0,112,Não,Noite,Seg-Qui,490466
VID01678,33,32,437.0,9.0,Sim,720p,Vlogs,Português,Não,56500,32.0,404,16,8896.0,32179,1326.0,813,Sim,Noite,Domingo,214041
VID01762,95,43,244.0,4.0,Sim,1080p,Música,Português,Sim,666630,78.0,468,19,5612.0,5640,4820.0,601,Não,Madrugada,Domingo,1109910
VID02118,46,10,734.0,2.0,Não,1080p,Vlogs,Espanhol,Sim,334729,6.0,290,22,5094.0,46490,1656.0,630,Não,Noite,Sábado,482818
VID00441,53,39,445.0,38.0,Sim,480p,Gaming,Espanhol,Sim,136015,80.0,475,20,436.0,22074,2728.0,750,Não,Noite,Sábado,389002
VID01533,163,77,383.0,31.0,Não,720p,Tecnologia,Português,Sim,772035,104.0,380,13,5932.0,26943,3725.0,760,Não,Manhã,Sexta,829009
VID00219,58,28,244.0,6.0,Sim,720p,Tecnologia,Português,Sim,16920,109.0,92,7,9512.0,34201,248.0,493,Não,Madrugada,Sexta,154325
VID01079,6,43,499.0,47.0,Sim,1080p,Tecnologia,Espanhol,Não,887203,72.0,294,26,4073.0,31774,141.0,517,Não,Madrugada,Sexta,1230095
VID01115,36,42,799.0,27.0,Sim,1080p,Gaming,Espanhol,Sim,114532,105.0,245,9,5467.0,44056,516.0,228,Não,Tarde,Domingo,432008
VID01793,18,91,583.0,0.0,Não,720p,Culinária,Português,Sim,476351,31.0,239,18,3809.0,22025,3669.0,294,Não,Manhã,Sábado,418032
VID00195,23,46,762.0,5.0,Sim,1080p,Vlogs,Inglês,Sim,574505,3.0,489,20,7476.0,11635,4014.0,163,Não,Noite,Sábado,1348712
VID02479,3,59,302.0,12.0,Sim,1080p,Culinária,Português,Não,214563,85.0,332,8,6520.0,30212,1998.0,525,Não,Noite,Sexta,265389
VID01407,3,23,913.0,13.0,Sim,1080p,Tecnologia,Português,Não,386180,8.0,70,9,310.0,31501,1547.0,53,Sim,Noite,Domingo,511749
VID01062,9,17,995.0,36.0,Sim,720p,Gaming,Português,Sim,168660,66.0,412,26,5357.0,5635,226.0,710,Não,Madrugada,Seg-Qui,301533
VID01725,32,28,294.0,3.0,Não,1080p,Educação,Inglês,Não,353597,66.0,449,24,4007.0,15372,3622.0,607,Não,Tarde,Domingo,697328
VID02070,19,95,95.0,49.0,Sim,1080p,Fitness,Português,Sim,914474,81.0,86,3,6169.0,16214,1843.0,29,Não,Tarde,Sexta,651350
VID00901,49,64,461.0,16.0,Não,480p,Culinária,Português,Não,375597,113.0,482,5,7362.0,47561,4386.0,163,Não,Noite,Domingo,442237
VID00094,49,59,763.0,50.0,Não,1080p,Música,Português,Sim,108506,5.0,113,2,9897.0,28894,2130.0,248,Não,Tarde,Sexta,332447
VID02156,20,28,979.0,5.0,Não,720p,Fitness,Inglês,Sim,690521,79.0,224,26,8555.0,49944,3056.0,943,Não,Madrugada,Seg-Qui,1481122
VID01799,26,79,602.0,12.0,Sim,1080p,Música,Inglês,Sim,460510,38.0,113,11,7788.0,24992,3494.0,969,Não,Noite,Domingo,2077123
VID02017,36,87,126.0,1.0,Sim,1080p,Gaming,Português,Não,977525,12.0,161,23,1401.0,26402,1173.0,589,Não,Manhã,Domingo,1321253
VID02352,3,28,65.0,28.0,Sim,1080p,Vlogs,Inglês,Não,385330,29.0,352,24,6766.0,39978,3655.0,965,Não,Madrugada,Sexta,1177577
VID02013,48,71,676.0,30.0,Sim,1080p,Gaming,Português,Não,272560,74.0,362,27,8637.0,35934,1828.0,856,Não,Madrugada,Domingo,518766
VID01310,9,36,706.0,49.0,Não,720p,Fitness,Português,Sim,794460,30.0,340,1,8285.0,18953,4629.0,699,Não,Madrugada,Seg-Qui,614747
VID01670,25,14,631.0,4.0,Sim,1080p,Fitness,Português,Sim,311821,99.0,389,25,7394.0,3729,517.0,311,Não,Madrugada,Domingo,272208
VID01899,16,63,730.0,0.0,Não,1080p,Culinária,Espanhol,Sim,737663,29.0,462,21,7589.0,41159,1373.0,29,Não,Noite,Seg-Qui,788277
VID02020,50,22,69.0,13.0,Sim,720p,Educação,Espanhol,Sim,815365,24.0,370,24,2009.0,14583,1084.0,686,Sim,Tarde,Sexta,705228
VID00171,27,58,296.0,38.0,Não,1080p,Música,Português,Não,218223,50.0,36,7,4945.0,20655,3492.0,735,Não,Manhã,Sexta,446059
VID00569,46,72,758.0,5.0,Sim,1080p,Vlogs,Português,Sim,891956,112.0,337,23,7542.0,5566,768.0,130,Não,Tarde,Domingo,756715
VID01362,53,85,624.0,22.0,Sim,1080p,Culinária,Inglês,Sim,442276,49.0,26,26,3533.0,21604,3787.0,962,Não,Noite,Sábado,1049782
VID02395,21,58,239.0,30.0,Sim,480p,Vlogs,Inglês,Não,7422,82.0,413,13,5298.0,312,4903.0,835,Não,Manhã,Domingo,280121
VID00464,43,34,830.0,42.0,Sim,1080p,Gaming,Português,Não,610311,90.0,253,25,6696.0,39807,1022.0,827,Não,Manhã,Sexta,931796
VID00213,26,60,558.0,34.0,Sim,1080p,Tecnologia,Inglês,Não,310848,87.0,468,22,5131.0,35877,1820.0,200,Sim,Madrugada,Seg-Qui,1200275
VID01573,2,100,125.0,34.0,Sim,720p,Vlogs,Inglês,Sim,74812,19.0,297,26,8412.0,20653,2454.0,989,Não,Noite,Seg-Qui,448574
VID01539,2,95,148.0,50.0,Não,720p,Música,Português,Não,194264,47.0,148,14,4208.0,36612,4272.0,148,Não,Noite,Sábado,436991
VID01653,24,44,520.0,45.0,Sim,1080p,Culinária,Português,Não,171166,100.0,359,12,3727.0,9946,4351.0,699,Não,Madrugada,Seg-Qui,256688
VID01724,58,30,472.0,38.0,Sim,1080p,Vlogs,Espanhol,Sim,763448,97.0,374,11,4463.0,11701,3932.0,592,Não,Noite,Seg-Qui,938136
VID00297,30,90,478.0,32.0,Não,4K,Tecnologia,Inglês,Não,7871,37.0,463,28,4561.0,-259,3079.0,23,Não,Manhã,Domingo,221935
VID00931,27,57,357.0,29.0,Sim,1080p,Fitness,Português,Não,29041,45.0,53,17,1006.0,25451,2521.0,259,Não,Noite,Sexta,141074
VID02121,52,29,266.0,24.0,Sim,1080p,Culinária,Português,Não,582161,10.0,328,21,9199.0,43182,1763.0,887,Não,Tarde,Sábado,560494
VID01000,48,16,673.0,29.0,Sim,1080p,Culinária,Espanhol,Sim,687054,120.0,267,29,9003.0,34328,141.0,670,Não,Manhã,Sexta,804602
VID01085,7,34,322.0,10.0,Não,1080p,Vlogs,Espanhol,Sim,549647,96.0,383,30,2023.0,44549,765.0,343,Sim,Tarde,Sexta,801385
VID00509,59,20,504.0,24.0,Sim,4K,Culinária,Inglês,Não,812946,110.0,350,9,2648.0,29274,1590.0,704,Não,Manhã,Sábado,1686200
VID00240,25,16,,33.0,Sim,720p,Fitness,Português,Sim,780431,,86,28,9170.0,26155,2780.0,721,Sim,Tarde,Sábado,665800
VID37465,18,14,430.0,36.0,Não,1080p,Música,Inglês,Sim,473099,44.0,257,28,775.0,23254,2517.0,777,Sim,Noite,Sábado,2210654
VID00135,59,72,146.0,34.0,Sim,720p,Educação,Português,Sim,558649,102.0,55,10,8067.0,19877,27.0,251,Sim,Tarde,Domingo,434818
VID01876,40,66,172.0,8.0,Sim,1080p,Vlogs,Português,Sim,468791,116.0,318,23,7057.0,16944,2981.0,583,Sim,Manhã,Sábado,505135
VID01592,30,57,61.0,1.0,Não,720p,Tecnologia,Inglês,Sim,340592,30.0,125,20,1777.0,17061,3228.0,905,Não,Madrugada,Seg-Qui,4170980
VID02472,33,15,909.0,46.0,Sim,720p,Música,Inglês,Não,47711,83.0,303,22,4063.0,14331,1977.0,758,Não,Noite,Seg-Qui,467281
VID02444,60,98,160.0,33.0,Não,1080p,Fitness,Espanhol,Não,215854,89.0,185,15,4649.0,29716,4335.0,445,Não,Manhã,Sábado,382297
VID01884,32,83,792.0,5.0,Não,720p,Gaming,Português,Não,683032,59.0,326,19,4450.0,4953,1516.0,931,Não,Madrugada,Sábado,891260
VID00813,4,69,161.0,19.0,Não,1080p,Tecnologia,Inglês,Não,521328,81.0,10,21,7317.0,46722,4101.0,722,Sim,Noite,Seg-Qui,1761662
VID01695,5,92,656.0,15.0,Não,4K,Vlogs,Inglês,Sim,528551,55.0,350,14,7448.0,47445,3809.0,741,Não,Noite,Sexta,1446926
VID02030,36,20,715.0,18.0,Não,1080p,Culinária,Inglês,Não,731287,113.0,199,30,5168.0,3796,3600.0,643,Sim,Manhã,Sábado,1568667
VID01656,21,35,476.0,1.0,Não,4K,Gaming,Português,Não,601956,84.0,252,18,4964.0,3605,3810.0,903,Não,Manhã,Domingo,876914
VID01767,25,88,866.0,30.0,Sim,480p,Vlogs,Português,Sim,102591,66.0,249,10,1149.0,3039,4837.0,394,Não,Noite,Domingo,177436
VID01945,40,68,296.0,,Sim,480p,Música,Português,Não,929733,10.0,429,5,4433.0,8330,4325.0,86,Não,Manhã,Domingo,1504977
VID01488,54,73,199.0,,Sim,720p,Música,Inglês,Não,333118,,429,14,8003.0,993,2392.0,890,Não,Manhã,Sexta,1472756
VID00299,21,57,948.0,35.0,Sim,1080p,Vlogs,Português,Não,332417,48.0,57,23,6636.0,12299,2838.0,830,Não,Noite,Domingo,391093
VID00234,25,58,288.0,16.0,Sim,1080p,Tecnologia,Inglês,Não,244834,37.0,269,2,844.0,40345,3875.0,240,Não,Madrugada,Sábado,959531
VID00212,29,84,412.0,43.0,Sim,1080p,Vlogs,Português,Não,912450,118.0,466,18,6559.0,2832,698.0,148,Sim,Noite,Seg-Qui,841645
VID01284,10,80,488.0,4.0,Sim,1080p,Música,Português,Não,289242,4.0,328,10,8408.0,46415,4768.0,2,Não,Madrugada,Seg-Qui,670289
VID01726,7,62,976.0,2.0,Sim,4K,Culinária,Inglês,Sim,635415,112.0,444,29,4675.0,26611,895.0,54,Não,Manhã,Seg-Qui,1365790
VID02456,50,37,477.0,7.0,Sim,1080p,Vlogs,Inglês,Não,484360,72.0,493,6,4646.0,43220,3459.0,807,Não,Madrugada,Sábado,1338719
VID01953,15,96,615.0,11.0,Sim,720p,Tecnologia,Inglês,Não,19754,11.0,488,12,3580.0,35394,765.0,46,Não,Manhã,Sexta,319604
VID02299,10,15,959.0,18.0,Não,1080p,Fitness,Português,Sim,391401,112.0,9,18,6566.0,6798,4051.0,184,Não,Tarde,Domingo,365642
VID01949,31,38,904.0,22.0,Sim,1080p,Fitness,Espanhol,Não,685125,93.0,193,11,9093.0,49884,3318.0,786,Não,Noite,Sexta,810752
VID00179,33,75,655.0,50.0,Sim,720p,Gaming,Inglês,Não,54204,109.0,189,22,2758.0,27962,2985.0,84,Não,Madrugada,Sábado,574591
VID01495,12,74,365.0,6.0,Não,1080p,Tecnologia,Português,Sim,707693,16.0,54,21,7311.0,39787,4762.0,957,Não,Noite,Domingo,779959
VID01880,43,62,710.0,9.0,Sim,720p,Gaming,Português,Não,275420,14.0,226,12,3627.0,46893,1324.0,304,Não,Manhã,Sábado,490724
VID02346,34,87,740.0,1.0,Sim,720p,Tecnologia,Inglês,Não,16783,70.0,82,11,7007.0,4761,2696.0,386,Não,Madrugada,Sábado,273964
VID00835,7,54,985.0,39.0,Não,1080p,Gaming,Português,Sim,228026,53.0,333,4,3941.0,34028,1397.0,221,Não,Madrugada,Seg-Qui,416999
VID00486,58,21,624.0,6.0,Não,1080p,Educação,Português,Não,567796,16.0,237,23,8199.0,9640,783.0,688,Não,Noite,Sexta,317738
VID00522,54,16,76.0,5.0,Sim,1080p,Culinária,Inglês,Não,816025,104.0,3,16,792.0,7084,1825.0,224,Não,Madrugada,Domingo,1517222
VID01406,46,19,333.0,23.0,Sim,720p,Educação,Português,Não,30272,89.0,99,26,1886.0,23317,4940.0,128,Não,Madrugada,Sábado,175933
VID01865,52,12,145.0,28.0,Sim,720p,Culinária,Espanhol,Não,504742,2.0,265,10,9842.0,10701,4913.0,922,Não,Madrugada,Sexta,607294
VID00174,52,99,499.0,20.0,Não,1080p,Fitness,Português,Não,47366,41.0,178,17,8316.0,40094,4682.0,562,Não,Madrugada,Domingo,194796
VID00112,30,35,584.0,40.0,Não,720p,Culinária,Português,Não,511989,28.0,23,23,4941.0,37179,2436.0,186,Não,Noite,Seg-Qui,485695
VID01707,43,65,464.0,6.0,Sim,4K,Culinária,Português,Não,502089,32.0,297,16,8548.0,30462,193.0,918,Não,Noite,Sábado,446492
VID01524,51,77,767.0,50.0,Não,1080p,Fitness,Português,Não,15313,87.0,288,20,4666.0,21857,4717.0,370,Não,Manhã,Domingo,157392
VID01272,24,28,664.0,6.0,Sim,720p,Tecnologia,Português,Não,950687,52.0,99,30,6138.0,44361,1203.0,951,Não,Noite,Domingo,1012688
VID02203,48,47,591.0,38.0,Não,4K,Fitness,Português,Sim,703062,51.0,111,1,9112.0,5259,3668.0,510,Não,Manhã,Sexta,548262
VID02246,21,72,472.0,37.0,Não,1080p,Educação,Inglês,Não,698046,103.0,228,19,3268.0,26954,3946.0,85,Não,Noite,Seg-Qui,1249666
VID01511,26,100,96.0,43.0,Não,1080p,Gaming,Espanhol,Sim,918107,95.0,349,12,514.0,23472,3871.0,243,Não,Madrugada,Domingo,1653408
VID01585,34,50,312.0,16.0,Não,720p,Música,Inglês,Não,136976,118.0,412,24,1999.0,6265,2309.0,276,Não,Tarde,Seg-Qui,698317
VID00913,11,65,879.0,35.0,Não,720p,Fitness,Inglês,Sim,785467,43.0,243,15,872.0,4841,4684.0,473,Não,Manhã,Sábado,1403018
VID01117,16,44,745.0,11.0,Sim,720p,Fitness,Inglês,Não,364730,54.0,87,30,5670.0,22161,1901.0,649,Não,Noite,Sexta,836775
VID00355,25,67,908.0,37.0,Não,480p,Fitness,Português,Não,848427,32.0,243,5,6037.0,40716,564.0,326,Sim,Noite,Domingo,693832
