car_id,brand,model_year,mileage_km,fuel_type,engine_size_liters,horsepower,transmission,drivetrain,condition,previous_owners,accident_history,service_history,air_conditioning,power_steering,power_windows,airbags_count,abs_brakes,interior_material,sound_system,sunroof,parking_sensors,warranty_months,imported,color,price_brl
CAR00510,Chevrolet,2014,143918.0,Diesel,1.3,254.0,Automatizada,4x4,Bom,2.0,2+ acidentes,Completo,Sim,Não,Não,8.0,Sim,Tecido,Básico,Não,Sim,9.0,Não,Prata,34798
CAR00611,Chevrolet,2017,130844.0,Diesel,1.0,113.0,Automática,Dianteira,Bom,3.0,Sem acidentes,Sem histórico,Sim,Sim,Sim,8.0,Sim,Tecido,Premium,Não,Não,20.0,Não,Preto,27235
CAR00621,Volkswagen,2014,65272.0,Flex,1.4,237.0,Manual,Dianteira,Ruim,1.0,1 acidente leve,Parcial,Sim,Sim,Não,3.0,Sim,Tecido,Básico,Não,Não,1.0,Sim,Branco,13729
CAR02022,Toyota,2012,104319.0,Gasolina,1.3,242.0,Manual,Dianteira,Bom,2.0,Sem acidentes,Completo,Não,Sim,Sim,6.0,Sim,Tecido,Básico,Sim,Sim,20.0,Não,Azul,23290
CAR02059,Toyota,2015,187690.0,Flex,2.4,216.0,CVT,Dianteira,Regular,4.0,1 acidente leve,Parcial,Não,Sim,Não,2.0,Não,Couro Sintético,Premium,Não,Não,33.0,Não,Branco,13285
CAR01377,Fiat,2018,187611.0,Flex,1.4,235.0,Manual,4x4,Bom,3.0,Sem acidentes,Completo,Sim,Sim,Sim,6.0,Sim,Couro Legítimo,Básico,Não,Sim,29.0,Não,Cinza,54891
CAR00679,Chevrolet,2010,224128.0,Híbrido,1.8,117.0,Manual,Dianteira,Excelente,3.0,1 acidente leve,Completo,Sim,Sim,Sim,3.0,Sim,Couro Sintético,Básico,Não,Sim,0.0,Não,Branco,8000
CAR01358,Ford,2021,24404.0,Flex,2.0,230.0,Automática,Traseira,Bom,4.0,Sem acidentes,Parcial,Sim,Sim,Sim,0.0,Sim,Tecido,Básico,Não,Sim,25.0,Não,Vermelho,72539
CAR01232,Honda,2017,68344.0,Flex,1.8,70.0,Automática,Dianteira,Bom,5.0,Sem acidentes,Completo,Sim,Sim,Não,2.0,Sim,Tecido,Básico,Sim,Não,5.0,Não,Branco,46072
CAR02429,Toyota,2018,162699.0,Híbrido,1.4,156.0,Manual,4x4,Ruim,1.0,Sem acidentes,Parcial,Sim,Sim,Sim,5.0,Não,Couro Sintético,Premium,Não,Sim,4.0,Não,Azul,47369
CAR02091,  Honda,2013,62530.0,Flex,1.0,114.0,Manual,Dianteira,Bom,2.0,1 acidente leve,Completo,Sim,Sim,Sim,3.0,Sim,Tecido,Multimídia,Não,Não,4.0,Não,Prata,8000
CAR00737,Ford,2018,90178.0,Flex,1.3,117.0,Automática,Dianteira,Excelente,4.0,Sem acidentes,Completo,Sim,Sim,Sim,2.0,Não,Tecido,Premium,Não,Não,11.0,Sim,Prata,55601
CAR00531,Chevrolet,2023,30991.0,Gasolina,1.0,207.0,Automática,Dianteira,Ruim,2.0,1 acidente leve,Parcial,Não,Sim,Não,6.0,Sim,Couro Sintético,Básico,Não,Não,26.0,Não,Cinza,40155
CAR02485,Honda,2019,38783.0,Flex,1.0,163.0,CVT,Dianteira,Regular,3.0,1 acidente leve,Parcial,Sim,Sim,Não,5.0,Não,Couro Legítimo,Premium,Não,Sim,4.0,Não,Azul,53685
CAR00481,Chevrolet,2011,152271.0,Híbrido,1.4,95.0,Manual,4x4,Ruim,3.0,Sem acidentes,Completo,Sim,Sim,Sim,3.0,Não,Couro Sintético,Multimídia,Não,Não,30.0,Não,Preto,31051
CAR01132,Chevrolet,2016,116249.0,Flex,1.6,,Manual,Traseira,Regular,4.0,Sem acidentes,Sem histórico,Sim,Sim,Sim,,Sim,Tecido,Básico,Não,Sim,22.0,Não,Cinza,8000
CAR02381,Hyundai,2019,88793.0,Flex,1.8,112.0,Manual,Dianteira,Bom,3.0,Sem acidentes,Parcial,Sim,Sim,Não,6.0,Não,Couro Legítimo,Básico,Não,Não,8.0,Não,Azul,46219
CAR00970,Hyundai,2015,113117.0,Diesel,1.3,109.0,CVT,Traseira,Bom,4.0,Sem acidentes,Sem histórico,Não,Sim,Sim,1.0,Sim,Tecido,Básico,Sim,Não,18.0,Não,Preto,10511
CAR02033,Ford,2016,153441.0,Flex,2.0,249.0,Manual,Dianteira,Bom,4.0,Sem acidentes,Completo,Não,Sim,Sim,1.0,Sim,Couro Sintético,Básico,Não,Não,7.0,Não,Vermelho,13828
CAR01400,Ford,2018,218456.0,Flex,1.0,248.0,CVT,Dianteira,Bom,3.0,Sem acidentes,Sem histórico,Sim,Não,Não,4.0,Não,Couro Sintético,Básico,Sim,Não,33.0,Não,Preto,22511
CAR00802,Toyota,2018,82243.0,Flex,1.3,99.0,Manual,4x4,Regular,4.0,1 acidente leve,Parcial,Sim,Sim,Não,7.0,Sim,Couro Sintético,Multimídia,Não,Não,11.0,Sim,Preto,44650
CAR00189,Volkswagen,2020,148674.0,Gasolina,1.3,139.0,CVT,Dianteira,Excelente,3.0,Sem acidentes,Completo,Sim,Sim,Não,8.0,Sim,Tecido,Premium,Não,Sim,5.0,Não,Vermelho,34829
CAR01821,Volkswagen,2021,48919.0,Diesel,1.6,84.0,CVT,4x4,Regular,1.0,1 acidente leve,Parcial,Sim,Sim,Sim,8.0,Sim,Tecido,Básico,Não,Não,18.0,Não,Preto,60803
CAR02131,Hyundai,2020,224707.0,Elétrico,1.4,141.0,Manual,Traseira,Regular,1.0,Sem acidentes,Completo,Sim,Sim,Sim,1.0,Sim,Couro Sintético,Básico,Não,Não,19.0,Não,Prata,30367
CAR02329,Ford,2017,148277.0,Gasolina,1.0,120.0,CVT,Dianteira,Bom,3.0,1 acidente leve,Parcial,Sim,Sim,Sim,4.0,Sim,Tecido,Básico,Não,Sim,9.0,Não,Prata,8000
CAR01972,Toyota,2012,175526.0,Flex,1.6,112.0,Manual,Dianteira,Excelente,5.0,1 acidente leve,Completo,Sim,Sim,Sim,6.0,Sim,Tecido,Básico,Não,Sim,8.0,Não,Vermelho,8000
CAR00252,Honda,2017,118943.0,Etanol,3.0,384.0,Automática,Dianteira,Regular,5.0,1 acidente leve,Parcial,Sim,Sim,Sim,1.0,Sim,Couro Sintético,Básico,Não,Não,25.0,Sim,Cinza,17340
CAR00260,Honda,2017,24991.0,Flex,1.6,107.0,Manual,4x4,Regular,1.0,Sem acidentes,Parcial,Sim,Sim,Sim,1.0,Sim,Tecido,Premium,Não,Não,36.0,Não,Vermelho,54505
CAR01303,Toyota,2016,230162.0,Flex,1.0,199.0,Manual,Dianteira,Regular,5.0,Sem acidentes,Parcial,Sim,Sim,Não,3.0,Sim,Tecido,Premium,Não,Sim,11.0,Não,Vermelho,8000
CAR01678,Chevrolet,2017,232565.0,Diesel,1.8,166.0,Manual,Dianteira,Bom,5.0,Sem acidentes,Parcial,Sim,Sim,Sim,0.0,Sim,Tecido,Básico,Não,Não,19.0,Não,Cinza,8000
CAR01762,Fiat,2018,229404.0,Híbrido,2.0,276.0,Automática,Dianteira,Bom,2.0,Sem acidentes,Parcial,Sim,Sim,Sim,8.0,Sim,Tecido,Básico,Não,Não,22.0,Não,Branco,58828
CAR02118,Honda,2015,173038.0,Híbrido,2.4,218.0,CVT,4x4,Excelente,4.0,Sem acidentes,Parcial,Sim,Não,Sim,4.0,Sim,Couro Sintético,Premium,Sim,Não,4.0,Sim,Vermelho,97121
CAR00441,Volkswagen,2019,154696.0,Gasolina,1.8,225.0,Manual,Dianteira,Regular,2.0,1 acidente leve,Completo,Sim,Sim,Sim,8.0,Não,Tecido,Multimídia,Não,Não,5.0,Não,Prata,21972
CAR01533,Honda,2012,59353.0,Flex,1.4,271.0,Manual,Dianteira,Regular,4.0,1 acidente leve,Completo,Sim,Sim,Sim,7.0,Sim,Couro Sintético,Multimídia,Não,Não,3.0,Não,Cinza,28975
CAR00219,Toyota,2022,199886.0,Flex,1.3,239.0,Automática,Dianteira,Regular,4.0,Sem acidentes,Parcial,Sim,Sim,Sim,1.0,Sim,Tecido,Multimídia,Não,Não,13.0,Não,Cinza,33855
CAR01079,Toyota,2016,91598.0,Flex,1.4,189.0,Automática,Dianteira,Regular,5.0,Sem acidentes,Parcial,Sim,Sim,Sim,7.0,Não,Tecido,Básico,Não,Não,34.0,Não,Branco,39668
CAR01115,Hyundai,2013,15625.0,Flex,1.4,269.0,Manual,Dianteira,Ruim,1.0,Sem acidentes,Parcial,Sim,Sim,Sim,8.0,Sim,Tecido,Básico,Sim,Sim,33.0,Não,Prata,46144
CAR01793,Ford,2014,40944.0,Híbrido,1.8,118.0,Automática,Dianteira,Regular,4.0,Sem acidentes,Parcial,Sim,Sim,Não,3.0,Sim,Tecido,Premium,Não,Não,36.0,Não,Vermelho,43662
CAR00195,Volkswagen,2019,96328.0,Flex,1.6,168.0,CVT,Dianteira,Bom,2.0,Sem acidentes,Parcial,Sim,Sim,Sim,0.0,Sim,Tecido,Premium,Não,Sim,17.0,Não,Prata,24147
CAR02479,Chevrolet,2018,75409.0,Elétrico,1.6,398.0,Manual,Dianteira,Bom,2.0,Sem acidentes,Completo,Sim,Sim,Sim,0.0,Sim,Couro Sintético,Básico,Não,Sim,24.0,Não,Cinza,65759
CAR01407,Honda,2024,163302.0,Flex,1.4,132.0,Automatizada,Dianteira,Regular,4.0,2+ acidentes,Parcial,Sim,Sim,Sim,3.0,Sim,Tecido,Básico,Não,Sim,25.0,Não,Cinza,13971
CAR01062,Honda,2021,152705.0,Flex,1.8,119.0,Manual,Dianteira,Regular,4.0,Sem acidentes,Parcial,Sim,Sim,Sim,2.0,Não,Couro Legítimo,Básico,Não,Sim,36.0,Não,Branco,27623
CAR01725,Honda,2023,192413.0,Flex,1.0,122.0,Manual,Dianteira,Excelente,1.0,Sem acidentes,Parcial,Sim,Sim,Sim,1.0,Não,Tecido,Premium,Não,Não,22.0,Não,Vermelho,27004
CAR02070,Honda,2011,27908.0,Flex,1.4,197.0,Manual,Dianteira,Regular,2.0,Sem acidentes,Parcial,Sim,Sim,Não,3.0,Sim,Tecido,Premium,Sim,Não,11.0,Não,Cinza,33659
CAR00901,Volkswagen,2013,127439.0,Gasolina,1.3,148.0,CVT,Traseira,Regular,4.0,1 acidente leve,Completo,Sim,Sim,Sim,1.0,Sim,Tecido,Multimídia,Não,Não,7.0,Não,Vermelho,8000
CAR00094,Honda,2011,206974.0,Etanol,1.3,192.0,Automática,Traseira,Bom,5.0,Sem acidentes,Completo,Não,Sim,Sim,6.0,Não,Tecido,Multimídia,Não,Não,13.0,Não,Branco,8000
CAR02156,Volkswagen,2017,194651.0,Etanol,1.8,293.0,CVT,Dianteira,Bom,2.0,1 acidente leve,Parcial,Sim,Sim,Sim,7.0,Não,Tecido,Multimídia,Não,Sim,27.0,Não,Vermelho,16334
CAR01799,Hyundai,2011,,Etanol,1.8,167.0,Automática,Dianteira,Excelente,,Sem acidentes,Parcial,Sim,Sim,Sim,2.0,Sim,Tecido,Premium,Não,Não,,Não,Vermelho,8000
CAR02017,Volkswagen,2020,127650.0,Gasolina,3.0,92.0,CVT,Dianteira,Bom,4.0,Sem acidentes,Completo,Sim,Sim,Sim,3.0,Não,Tecido,Multimídia,Não,Não,13.0,Não,Azul,35641
CAR02352,Hyundai,2015,112445.0,Flex,1.3,300.0,CVT,Dianteira,Bom,2.0,Sem acidentes,Parcial,Sim,Sim,Sim,1.0,Sim,Tecido,Básico,Não,Não,22.0,Não,Cinza,33775
CAR02013,Volkswagen,2017,246084.0,Gasolina,1.6,230.0,Manual,Dianteira,Bom,1.0,Sem acidentes,Completo,Sim,Sim,Não,3.0,Não,Couro Sintético,Básico,Não,Sim,20.0,Não,Cinza,8000
CAR01310,Ford,2023,77567.0,Diesel,1.8,175.0,Automática,Dianteira,Excelente,4.0,Sem acidentes,Completo,Sim,Sim,Não,7.0,Sim,Couro Sintético,Premium,Não,Não,9.0,Não,Branco,87616
CAR01670,Toyota,2023,192902.0,Flex,1.0,71.0,Manual,Dianteira,Bom,4.0,1 acidente leve,Sem histórico,Não,Sim,Não,8.0,Sim,Tecido,Premium,Não,Não,27.0,Sim,Branco,11541
CAR01899,Ford,2010,196353.0,Flex,1.6,141.0,Manual,Dianteira,Ruim,3.0,1 acidente leve,Completo,Sim,Sim,Sim,5.0,Sim,Tecido,Básico,Não,Sim,25.0,Não,Branco,8000
CAR02020,Volkswagen,2011,7462.0,Flex,1.8,170.0,Automática,Dianteira,Bom,3.0,Sem acidentes,Completo,Sim,Não,Sim,1.0,Sim,Tecido,Básico,Não,Não,3.0,Não,Cinza,28649
CAR00171,Hyundai,2024,135064.0,Flex,1.0,88.0,Automática,Dianteira,Bom,4.0,Sem acidentes,Parcial,Sim,Não,Sim,8.0,Sim,Couro Sintético,Básico,Não,Sim,17.0,Não,Branco,52443
CAR00569,Toyota,2010,99876.0,Híbrido,1.0,82.0,Manual ,4x4,Regular,1.0,1 acidente leve,Parcial,Sim,Sim,Sim,1.0,Não,Tecido,Premium,Sim,Não,6.0,Não,Prata,25403
CAR01362,Chevrolet,2023,165856.0,Diesel,1.6,172.0,CVT,4x4,Excelente,4.0,1 acidente leve,Sem histórico,Sim,Sim,Sim,8.0,Não,Couro Sintético,Premium,Não,Não,11.0,Não,Branco,38311
CAR02395,Honda,2013,44560.0,Gasolina,1.0,231.0,Automática,Dianteira,Excelente,2.0,Sem acidentes,Completo,Sim,Sim,Não,0.0,Sim,Tecido,Básico,Não,Não,10.0,Não,Preto,35130
CAR00464,Honda,2017,69887.0,Flex,1.4,135.0,CVT,Dianteira,Ruim,3.0,Sem acidentes,Parcial,Sim,Sim,Sim,0.0,Sim,Tecido,Multimídia,Não,Não,14.0,Não,Vermelho,20077
CAR00213,Honda,2024,113946.0,Flex,1.6,72.0,Automática,Dianteira,Bom,1.0,1 acidente leve,Sem histórico,Sim,Sim,Sim,1.0,Sim,Couro Legítimo,Básico,Não,Não,12.0,Não,Vermelho,56022
CAR01573,Hyundai,2015,219566.0,Flex,1.0,100.0,Automática,Dianteira,Bom,2.0,Sem acidentes,Parcial,Sim,Sim,Sim,8.0,Sim,Tecido,Básico,Sim,Não,10.0,Não,Preto,8000
CAR01539,Honda,2014,119091.0,Flex,1.6,280.0,CVT,Traseira,Ruim,5.0,Sem acidentes,Completo,Não,Sim,Sim,5.0,Sim,Tecido,Básico,Não,Sim,1.0,Sim,Prata,27813
