restaurant_id,location_type,neighborhood_safety,parking_available,outdoor_seating,cuisine_type,price_range,seating_capacity,years_in_business,waiters_count,avg_service_time_min,accepts_reservations,delivery_service,health_inspection_score,chef_experience_years,menu_variety_items,daily_specials,has_website,social_media_followers,instagram_posts_count,online_reviews_count,live_music,kids_friendly,accepts_groups,average_rating
REST00045,Bairro Nobre,Alta,Não,Não,Vegetariana,Econômico,66,27,12.0,51,Sim,Sim,97.83,9.0,26,Sim,Sim,5494.0,707,7,Não,Sim,Sim,5.0
REST01463,Subúrbio,Alta,Não,Não,Americana,Econômico,120,10,10.0,71,Sim,Sim,67.63,3.0,11,Não,Não,32054.0,970,146,Sim,Não,Sim,3.37
REST01201,Bairro Nobre,Média,Não,Não,Árabe,Moderado,83,16,15.0,31,Sim,Sim,89.02,29.0,80,Sim,Não,26559.0,437,1210,Não,Sim,Não,5.0
REST01778,Centro,Baixa,Sim,Sim,Italiana,Caro,130,19,8.0,88,Sim,Sim,88.71,4.0,48,Sim,Sim,45572.0,677,1493,Não,Sim,Não,5.0
REST00354,Periferia,Média,Não,Não,Americana,Caro,61,2,20.0,36,Sim,Sim,74.91,8.0,26,Sim,Sim,17428.0,637,658,Sim,Não,Sim,4.43
REST01927,Shopping,Alta,Sim,Não,Italiana,Econômico,54,13,14.0,74,Sim,Não,91.37,21.0,89,Sim,Sim,34218.0,179,938,Não,Sim,Não,5.0
REST00458,Subúrbio,Média,Sim,Sim,Americana,Moderado,81,12,7.0,47,Sim,Sim,76.52,17.0,145,Não,Sim,3454.0,712,365,Não,Não,Sim,4.8
REST00176,Bairro Nobre,Média,Sim,Não,Vegetariana,Moderado,50,11,3.0,58,Sim,Sim,64.85,,46,Sim,Sim,,103,1282,Não,Sim,Sim,3.93
REST00766,Periferia,Baixa,Sim,Não,Italiana,Econômico,38,23,3.0,26,Não,Sim,90.31,15.0,76,Não,Sim,33533.0,818,773,Não,Não,Sim,5.0
REST02151,Centro,Baixa,Sim,Não,Americana,Moderado,109,3,4.0,68,Sim,Sim,92.61,19.0,38,Sim,Sim,21555.0,619,764,Não,Sim,Sim,5.0
REST00480,Shopping,Média,Não,Sim,Japonesa,Moderado,42,24,18.0,22,Sim,Sim,57.57,1.0,74,Sim,Sim,19017.0,705,478,Não,Sim,Sim,4.55
REST01568,Bairro Nobre,Alta,Não,Sim,Vegetariana,Moderado,169,15,6.0,38,Não,Sim,59.37,30.0,120,Não,Não,46605.0,900,1417,Não,Sim,Sim,5.0
REST01318,Bairro Nobre,Baixa,Sim,Não,Americana,Moderado,191,5,9.0,18,Sim,Não,76.39,6.0,29,Não,Não,47530.0,211,1791,Não,Sim,Sim,4.6
REST01638,Periferia,Média,Sim,Não,Vegetariana,Moderado,23,0,8.0,90,Não,Não,85.31,27.0,119,Sim,Sim,21546.0,637,292,Não,Não,Não,4.75
REST02185,Periferia,Baixa,Sim,Não,Vegetariana,Caro,190,1,8.0,39,Sim,Não,66.51,14.0,146,Não,Sim,35866.0,694,401,Não,Sim,Não,4.37
REST00809,Centro,Média,Sim,Não,Árabe,Moderado,130,23,7.0,18,Sim,Sim,82.19,26.0,137,Não,Sim,14096.0,616,1237,Não,Sim,Sim,5.0
REST01566,Centro,Baixa,Sim,Não,Japonesa,Moderado,139,18,14.0,61,Sim,Sim,65.09,11.0,116,Não,Não,16915.0,941,465,Não,Sim,Sim,4.63
REST00044,Bairro Nobre,Baixa,Sim,Sim,Americana,Caro,137,18,5.0,43,Sim,Sim,76.27,13.0,143,Sim,Sim,11763.0,940,410,Sim,Não,Não,5.0
REST00451,Subúrbio,Baixa,Não,Sim,Brasileira,Econômico,49,14,20.0,25,Sim,Sim,97.09,29.0,97,Sim,Não,,505,121,Não,Sim,Sim,5.0
REST00782,Centro,Alta,Sim,Não,Japonesa,Econômico,139,19,17.0,85,Sim,Sim,94.84,1.0,76,Não,Não,49887.0,743,391,Não,Sim,Sim,5.0
REST00325,Centro,Alta,Não,Não,Árabe,Econômico,110,8,13.0,50,Sim,Sim,59.35,4.0,38,Não,Não,46534.0,983,942,Sim,Não,Sim,3.99
REST00840,Subúrbio,Baixa,Não,Não,Vegetariana,Caro,77,8,4.0,51,Sim,Sim,76.7,17.0,104,Não,Sim,14134.0,99,354,Não,Não,Sim,3.8
REST00757,Shopping,Alta,Não,Não,Vegetariana,Caro,154,18,9.0,30,Sim,Sim,97.88,30.0,13,Não,Não,37821.0,422,232,Não,Sim,Sim,5.0
REST00974,Shopping,Baixa,Sim,Sim,Brasileira,Caro,171,13,5.0,83,Sim,Sim,64.68,2.0,143,Não,Sim,19562.0,953,1463,Não,Sim,Sim,3.53
REST02298,Shopping,Média,Sim,Não,Brasileira,Moderado,177,1,8.0,26,Não,Sim,63.18,5.0,66,Não,Sim,1844.0,481,381,Não,Não,Sim,4.54
REST00510,Centro,Alta,Não,Não,Brasileira,Muito Caro,74,6,4.0,72,Sim,Sim,51.08,27.0,135,Não,Não,23923.0,113,1793,Sim,Sim,Sim,4.21
REST00611,Centro,Alta,Não,Não,Italiana,Econômico,113,15,12.0,73,Sim,Sim,61.14,16.0,127,Não,Não,15402.0,579,52,Não,Não,Sim,4.28
REST00621,Shopping,Alta,Não,Não,Brasileira,Caro,57,5,13.0,26,Não,Sim,56.42,7.0,50,Sim,Sim,5257.0,170,1262,Não,Sim,Sim,4.49
REST02022,Bairro Nobre,Média,Não,Não,Vegetariana,Moderado,155,24,14.0,35,Não,Sim,62.96,18.0,71,Não,Sim,3356.0,664,1332,Não,Sim,Sim,4.84
REST02059,Periferia,Média,Sim,Não,Árabe,Econômico,122,23,2.0,27,Sim,Não,70.3,29.0,54,Não,Não,34729.0,101,763,Não,Sim,Sim,5.0
REST01377,Subúrbio,Média,Sim,Não,Japonesa,Moderado,65,9,16.0,30,Sim,Sim,54.47,16.0,136,Não,Sim,21384.0,630,1191,Não,Não,Sim,4.81
REST00679,Shopping,Alta,Sim,Não,Italiana,Caro,183,1,17.0,23,Sim,Sim,85.53,18.0,21,Sim,Sim,7746.0,392,1648,Não,Sim,Sim,5.0
REST01358,Bairro Nobre,Alta,Não,Sim,Italiana,Moderado,190,14,18.0,79,Sim,Sim,77.94,9.0,138,Sim,Não,25888.0,532,281,Não,Não,Sim,5.0
REST01232,Bairro Nobre,Alta,Não,Não,Americana,Moderado,151,6,6.0,46,Não,Sim,88.86,26.0,89,Sim,Sim,23460.0,823,1790,Não,Não,Sim,5.0
REST02429,Periferia,Média,Não,Não,Americana,Moderado,112,1,-2.0,50,Não,Sim,82.39,3.0,15,Sim,Não,24861.0,432,179,Não,Não,Não,3.31
REST02091,Shopping,Baixa,Sim,Não,Americana,Econômico,108,20,7.0,39,Sim,Sim,52.51,5.0,122,Sim,Sim,21101.0,582,726,Não,Não,Sim,3.92
REST00737,Centro,Média,Sim,Sim,Japonesa,Moderado,58,18,13.0,18,Não,Sim,56.08,18.0,121,Não,Não,33720.0,219,1975,Não,Não,Não,5.0
REST00531,Bairro Nobre,Alta,Sim,Sim,Árabe,Econômico,125,25,19.0,74,Sim,Sim,,12.0,18,Sim,Não,2902.0,115,1899,Não,Não,Sim,5.0
REST02485,Subúrbio,Média,Não,Não,Brasileira,  Caro,82,13,16.0,27,Sim,Sim,87.93,2.0,25,Não,Não,46253.0,259,1366,Não,Não,Não,4.88
REST00481,Centro,Alta,Não,Não,Árabe,Moderado,184,15,14.0,47,Sim,Sim,69.23,2.0,55,Não,Sim,39848.0,636,689,Não,Sim,Sim,4.7
REST01132,Centro,Alta,Não,Não,Italiana,Econômico,60,4,4.0,81,Sim,Sim,99.92,11.0,17,Sim,Sim,11979.0,931,1058,Sim,Não,Sim,5.0
REST02381,Bairro Nobre,Média,Sim,Não,Japonesa,Muito Caro,27,12,3.0,32,Sim,Sim,85.82,10.0,20,Não,Não,11752.0,283,129,Não,Sim,Sim,5.0
REST00970,Shopping,Baixa,Sim,Não,Americana,Caro,108,22,6.0,33,Não,Não,57.62,25.0,110,Sim,Não,21426.0,101,767,Não,Não,Não,3.99
REST02033,Centro,Média,Sim,Não,Japonesa,Econômico,69,9,17.0,23,Sim,Sim,81.8,29.0,91,Não,Sim,33946.0,123,827,Não,Não,Sim,5.0
REST01400,Subúrbio,Média,Sim,Não,Italiana,Moderado,100,25,3.0,45,Sim,Sim,50.46,20.0,35,Não,Sim,6608.0,481,1375,Não,Sim,Não,4.46
REST00802,Subúrbio,Baixa,Sim,Sim,Americana,Moderado,144,5,8.0,18,Sim,Sim,74.03,28.0,143,Sim,Sim,25203.0,220,1146,Não,Não,Não,4.78
REST00189,Centro,Média,Sim,Não,Árabe,Econômico,22,15,9.0,66,Não,Sim,94.29,,23,Sim,Sim,12455.0,503,1545,Não,Não,Sim,4.86
REST01821,Bairro Nobre,Alta,Sim,Não,Árabe,Moderado,46,23,13.0,75,Sim,Sim,96.47,21.0,97,Não,Não,1957.0,456,1144,Não,Sim,Sim,5.0
REST02131,Bairro Nobre,Alta,Sim,Não,Árabe,Moderado,27,2,19.0,59,Sim,Sim,50.56,25.0,125,Sim,Sim,13683.0,843,1929,Não,Não,Não,5.0
REST02329,Bairro Nobre,Alta,Não,Sim,Brasileira,Caro,183,21,11.0,51,Sim,Não,96.64,17.0,19,Não,Sim,48187.0,476,1115,Não,Sim,Sim,5.0
REST01972,Shopping,Baixa,Sim,Não,Árabe,Moderado,77,12,7.0,64,Sim,Sim,72.22,18.0,58,Sim,Sim,1819.0,899,1776,Não,Não,Sim,4.04
REST00252,Periferia,Alta,Sim,Não,Italiana,Caro,97,30,8.0,42,Sim,Sim,71.92,12.0,131,Sim,Não,42379.0,608,74,Não,Sim,Sim,5.0
REST00260,Bairro Nobre,Média,Não,Não,Americana,Moderado,180,0,15.0,70,Sim,Sim,63.51,19.0,131,Sim,Não,41277.0,256,610,Não,Não,Não,4.04
REST01303,Subúrbio,Baixa,Sim,Não,Japonesa,Caro,131,14,6.0,81,Sim,Sim,77.1,1.0,27,Não,Sim,1259.0,687,1057,Não,Não,Não,3.88
REST01678,Bairro Nobre,Média,Sim,Não,Brasileira,Moderado,177,20,2.0,26,Sim,Sim,64.01,7.0,35,Sim,Não,23456.0,352,1321,Não,Não,Não,4.49
REST01762,Centro,Média,Não,Sim,Americana,Muito Caro,130,12,9.0,72,Não,Sim,73.65,7.0,120,Sim,Sim,293.0,0,1251,Não,Sim,Sim,4.38
REST02118,Bairro Nobre,Alta,Sim,Não,Japonesa,Econômico,139,2,9.0,73,Sim,Não,80.84,9.0,118,Não,Não,32298.0,915,170,Não,Não,Não,4.74
REST00441,Centro,Alta,Não,Não,Árabe,Moderado,323,25,11.0,33,Sim,Não,85.08,24.0,131,Sim,Não,34673.0,88,1059,Não,Não,Sim,5.0
REST01533,Centro,Alta,Sim,Não,Brasileira,Econômico,26,3,12.0,71,Sim,Sim,89.44,29.0,48,Não,Não,31263.0,888,378,Não,Sim,Não,5.0
REST00219,Centro,Média,Não,Não,Italiana,Muito Caro,139,9,20.0,60,Sim,Sim,76.93,29.0,67,Sim,Sim,25354.0,178,1887,Não,Não,Sim,5.0
REST01079,Subúrbio,Baixa,Não,Não,Árabe,Caro,64,26,16.0,45,Sim,Sim,80.19,12.0,29,Sim,Não,41660.0,528,1247,Não,Não,Sim,4.08
REST01115,Subúrbio,Média,Sim,Não,Japonesa,Moderado,37,23,12.0,77,Não,Sim,63.35,14.0,106,Sim,Não,40683.0,75,648,Não,Não,Não,5.0
REST01793,Centro,Média,Sim,Não,Americana,Muito Caro,185,8,12.0,30,Sim,Sim,95.73,30.0,111,Sim,Sim,48314.0,556,288,Não,Sim,Não,5.0
REST00195,Periferia,Média,Sim,Não,Italiana,Moderado,90,23,13.0,41,Sim,Sim,88.56,7.0,62,Não,Sim,30747.0,591,1865,Sim,Sim,Não,5.0
REST02479,Shopping,Média,Não,Não,Italiana,Moderado,138,6,18.0,83,Sim,Não,54.25,23.0,101,Não,Não,25893.0,457,1178,Sim,Não,Sim,4.59
REST01407,Shopping,Média,Não,Não,Italiana,Caro,172,1,4.0,65,Não,Não,89.44,27.0,55,Sim,Sim,31235.0,167,1553,Não,Não,Sim,5.0
REST01062,Centro,Média,Sim,Sim,Árabe,Caro,90,3,14.0,61,Sim,Sim,96.91,22.0,77,Sim,Sim,3462.0,506,686,Não,Sim,Sim,5.0
REST01725,Shopping,Média,Não,Não,Brasileira,Moderado,39,28,2.0,47,Não,Sim,91.38,22.0,66,Não,Não,39288.0,567,57,Não,Não,Sim,5.0
REST02070,Subúrbio,Média,Sim,Não,Italiana,Caro,144,13,15.0,52,Sim,Sim,84.1,26.0,104,Não,Não,47283.0,706,893,Não,Sim,Não,5.0
REST00901,Subúrbio,Alta,Sim,Não,Brasileira,Caro,71,4,17.0,38,Sim,Sim,55.34,28.0,12,Não,Não,11399.0,385,863,Não,Sim,Não,4.56
REST00094,Subúrbio,Alta,Não,Sim,Vegetariana,Moderado,46,27,16.0,32,Sim,Sim,87.96,22.0,40,Não,Sim,16182.0,120,1548,Não,Não,Não,5.0
REST02156,Periferia,Baixa,Sim,Sim,Japonesa,Moderado,185,15,4.0,59,Sim,Sim,62.97,14.0,117,Sim,Não,5133.0,642,1917,Não,Não,Não,4.28
REST01799,Centro,Média,Não,Não,Italiana  ,Moderado,41,27,8.0,56,Não,Sim,57.54,1.0,143,Não,Sim,30868.0,958,168,Sim,Não,Não,4.9
REST02017,Centro,Média,Não,Sim,Brasileira,Econômico,36,29,6.0,19,Sim,Sim,52.14,13.0,86,Sim,Sim,22316.0,904,1485,Não,Não,Sim,5.0
REST02352,Shopping,Baixa,Sim,Não,Vegetariana,Econômico,32,18,4.0,60,Não,Não,71.92,30.0,127,Não,Sim,35697.0,780,1782,Não,Sim,Sim,5.0
REST02013,Subúrbio,Média,Sim,Não,Brasileira,Moderado,60,24,4.0,21,Sim,Sim,56.13,9.0,30,Não,Não,9782.0,899,1441,Não,Sim,Não,3.86
REST01310,Shopping,Alta,Sim,Não,Americana,Muito Caro,32,8,13.0,58,Não,Sim,52.94,26.0,147,Não,Sim,450011.0,100,1739,Não,Não,Não,5.0
REST01670,Bairro Nobre,Alta,Sim,Sim,Árabe,Econômico,20,0,16.0,28,Sim,Sim,55.14,18.0,56,Sim,Sim,46265.0,282,1655,Não,Não,Sim,5.0
REST01899,Bairro Nobre,Alta,Sim,Não,Brasileira,Econômico,72,9,8.0,74,Sim,Sim,63.58,,122,Sim,Não,5380.0,112,1479,Não,Sim,Sim,5.73
REST02020,Subúrbio,Alta,Não,Não,Italiana,Moderado,128,28,15.0,62,Sim,Sim,79.45,15.0,102,Não,Não,6044.0,751,19,Não,Sim,Sim,5.0
REST00171,Centro,Média,Não,Não,Árabe,Moderado,143,8,3.0,58,Sim,Sim,85.12,1.0,32,Não,Sim,38632.0,325,1102,Não,Não,Sim,4.6
REST00569,Periferia,Média,Não,Sim,Árabe,Econômico,168,26,9.0,79,Não,Sim,52.66,13.0,89,Não,Sim,19193.0,838,353,Não,Sim,Sim,4.14
REST01362,Subúrbio,Média,Não,Não,Vegetariana,Moderado,149,9,10.0,76,Sim,Sim,78.63,20.0,31,Não,Sim,36152.0,563,1003,Sim,Não,Não,4.59
REST02395,Subúrbio,Baixa,Não,Não,Brasileira,Muito Caro,58,17,9.0,68,Não,Sim,82.08,20.0,23,Não,Sim,45863.0,591,1732,Não,Sim,Não,4.33
REST00464,Bairro Nobre,Média,Não,Não,Italiana,Muito Caro,65,3,19.0,62,Não,Sim,64.17,22.0,16,Sim,Sim,49715.0,730,1694,Não,Não,Sim,4.93
REST00213,Subúrbio,Média,Não,Sim,Italiana,Econômico,187,16,7.0,73,Sim,Sim,93.37,15.0,136,Não,Sim,21750.0,886,1282,Não,Não,Sim,5.0
REST01573,Centro,Alta,Sim,Não,Americana,Caro,117,20,18.0,47,Não,Sim,82.4,25.0,56,Não,Sim,43435.0,538,703,Sim,Não,Não,5.0
REST01539,Subúrbio,Baixa,Sim,Não,Americana,Econômico,137,8,19.0,43,Sim,Sim,87.05,2.0,66,Não,Não,32742.0,573,1845,Não,Não,Sim,4.59
REST01653,Subúrbio,Alta,Sim,Não,Americana,Econômico,32,9,16.0,76,Sim,Não,98.63,14.0,55,Não,Não,32574.0,374,51,Não,Sim,Sim,5.0
REST01724,Bairro Nobre,Média,Sim,Não,Vegetariana,Econômico,137,0,5.0,21,Não,Sim,71.74,15.0,53,Não,Não,10196.0,463,228,Não,Sim,Sim,4.66
REST00297,Shopping,Baixa,Sim,Sim,Vegetariana,Moderado,157,11,10.0,67,Sim,Sim,59.02,19.0,53,Não,Não,4980.0,55,689,Sim,Não,Não,4.23
REST00931,Bairro Nobre,Média,Não,Sim,Americana,Moderado,179,16,10.0,31,Não,Sim,93.93,12.0,54,Não,Sim,440.0,546,1436,Não,Sim,Sim,5.0
REST02121,Centro,Alta,Não,Não,Americana,Caro,48,28,12.0,79,Sim,Sim,53.09,15.0,102,Sim,Sim,30270.0,85,1584,Não,Sim,Sim,5.0
REST01000,Subúrbio,Média,Sim,Não,Árabe,Econômico,131,16,,78,Não,Sim,88.7,23.0,84,Sim,Não,24942.0,684,1543,Não,Não,Sim,5.0
REST01085,Periferia,Média,Sim,Sim,Brasileira,Econômico,115,0,14.0,52,Não,Não,63.18,19.0,62,Não,Não,33904.0,904,855,Não,Não,Sim,3.81
REST00509,Shopping,Média,Sim,Não,Americana,Muito Caro,124,5,6.0,21,Sim,Sim,86.71,17.0,37,Não,Não,5388.0,223,507,Não,Sim,Sim,5.0
REST00240,Shopping,Média,Não,Não,Árabe,Muito Caro,187,5,,34,Não,Sim,,8.0,141,Sim,Sim,,666,1431,Não,Sim,Sim,4.54
REST18321,Shopping,Média,Sim,Não,Italiana,Econômico,80,4,11.0,52,Não,Sim,76.88,18.0,25,Sim,Sim,31767.0,874,1846,Não,Não,Não,4.92
REST00135,Subúrbio,Baixa,Sim,Não,Americana,Caro,156,11,14.0,51,Sim,Não,52.84,10.0,42,Sim,Sim,16659.0,991,1105,Não,Não,Sim,3.3
REST01876,Shopping,Média,Não,Não,Árabe,Moderado,27,17,10.0,36,Sim,Sim,98.99,20.0,52,Sim,Não,40021.0,751,743,Não,Sim,Não,5.0
REST01592,Centro,Média,Não,Sim,Brasileira,Moderado,128,5,6.0,34,Sim,Sim,68.65,24.0,140,Não,Sim,47178.0,235,616,Não,Sim,Sim,5.0
REST02472,Periferia,Alta,Não,Não,Japonesa,Caro,78,13,3.0,89,Não,Sim,83.46,19.0,109,Não,Sim,4706.0,983,627,Sim,Sim,Sim,5.0
REST02444,Subúrbio,Média,Não,Sim,Brasileira,Moderado,108,8,9.0,18,Não,Sim,83.07,1.0,11,Não,Não,41594.0,559,1456,Não,Sim,Sim,4.2
REST01884,Centro,Média,Sim,Não,Árabe,Econômico,121,16,18.0,49,Não,Não,76.06,1.0,14,Não,Não,21086.0,323,651,Sim,Não,Sim,4.04
REST00813,Centro,Baixa,Sim,Não,Italiana,Muito Caro,134,5,14.0,34,Não,Sim,79.62,21.0,137,Sim,Sim,30224.0,826,323,Não,Sim,Sim,5.0
REST01695,Bairro Nobre,Baixa,Sim,Não,Italiana,Econômico,127,1,10.0,36,Sim,Sim,91.19,16.0,62,Não,Não,44661.0,216,155,Não,Não,Não,5.0
REST02030,Centro,Alta,Não,Não,Árabe,Caro,166,24,15.0,80,Sim,Sim,54.37,10.0,126,Sim,Sim,18941.0,565,1387,Não,Sim,Não,4.53
REST01656,Bairro Nobre,Alta,Não,Não,Japonesa,Moderado,115,21,7.0,67,Sim,Sim,86.01,24.0,51,Sim,Sim,10446.0,507,130,Não,Não,Não,5.0
REST01767,Periferia,Média,Sim,Não,Italiana,Econômico,47,0,4.0,37,Não,Sim,86.52,22.0,90,Sim,Sim,48321.0,282,1878,Não,Não,Não,5.0
REST01945,Bairro Nobre,Média,Não,Sim,Japonesa,Moderado,160,17,16.0,43,Sim,Sim,69.27,28.0,102,Não,Sim,24819.0,710,1479,Não,Sim,Sim,5.0
REST01488,Periferia,Baixa,Sim,Não,Brasileira,Muito Caro,36,24,3.0,77,Sim,Sim,96.81,30.0,91,Não,Não,37607.0,737,1770,Não,Não,Sim,5.0
REST00299,Periferia,Alta,Não,Não,Vegetariana,Econômico,67,0,8.0,62,Não,Sim,95.39,21.0,98,Não,Sim,46344.0,381,1107,Sim,Não,Sim,5.0
REST00234,Periferia,Média,Não,Não,Árabe,Moderado,72,12,18.0,66,Não,Sim,73.71,25.0,28,Sim,Sim,5.0,622,1028,Não,Não,Sim,4.18
REST00212,Periferia,Média,Não,Sim,Vegetariana,Moderado,52,17,4.0,79,Não,Não,88.42,29.0,43,Sim,Sim,35415.0,637,1051,Não,Sim,Sim,5.0
REST01284,Bairro Nobre,Média,Não,Não,Vegetariana,Caro,51,10,18.0,71,Sim,Sim,95.8,13.0,131,Sim,Sim,26524.0,577,1334,Sim,Não,Sim,5.0
REST01726,Centro,Média,Sim,Sim,Vegetariana,Muito Caro,83,20,13.0,23,Não,Sim,75.19,8.0,113,Não,Sim,2475.0,751,1019,Não,Sim,Sim,5.0
REST02456,Shopping,Alta,Sim,Não,Japonesa,Moderado,114,26,12.0,69,Sim,Sim,61.29,6.0,59,Sim,Sim,49057.0,15,1617,Sim,Não,Sim,5.0
REST01953,Shopping,Baixa,Sim,Sim,Japonesa,Econômico,158,3,19.0,90,Não,Sim,63.1,26.0,88,Sim,Sim,62.0,693,1092,Não,Sim,Sim,4.72
REST02299,Shopping,Média,Não,Sim,Vegetariana  ,Muito Caro,89,17,9.0,55,Sim,Sim,95.26,16.0,61,Sim,Não,39165.0,730,1519,Não,Sim,Sim,5.0
