employee_id,age,education_level,years_at_company,previous_experience_years,department,position_level,team_size,direct_reports,commute_time_min,work_mode,workspace_quality,noise_level,has_modern_equipment,software_training_hours,tools_satisfaction,sleep_hours_avg,exercise_days_week,stress_level,sick_days_last_year,salary_satisfaction,manager_quality,career_growth_score,work_life_balance,has_flexible_hours,has_health_insurance,has_meal_voucher,professional_development_budget,productive_hours_week
EMP01799,39,Ensino Médio,10,1,TI,Sênior,8,2,107.0,Presencial,Excelente,Alto,Sim,31.0,8,4.9,0.0,Muito Alto,10,4,8,1,4,Sim,Sim,Não,5000,23.2
EMP02017,54,Ensino Médio,0,17,Financeiro,Pleno,18,9,28.0,Remoto,Adequado,Moderado,Não,26.0,6,5.2,6.0,Muito Alto,3,7,10,3,6,Sim,Sim,Sim,6599,27.7
EMP02352,46,Ensino Médio,13,28,RH,Pleno,17,10,36.0,Híbrido,Bom,Baixo,Não,18.0,9,8.6,7.0,Alto,3,3,5,8,1,Não,Sim,Sim,1110,27.1
EMP02013,42,Superior,20,18,Vendas,Coordenador,10,13,120.0,Remoto,Bom,Alto,Não,60.0,8,8.7,1.0,Moderado,10,9,9,2,6,Sim,Sim,Sim,4152,38.0
EMP01310,64,Superior,4,25,TI,Pleno,24,4,96.0,Presencial,Bom,Moderado,Sim,28.0,7,9.1,4.0,Alto,18,5,10,8,1,Sim,Não,Sim,8670,31.6
EMP01670,36,Pós-graduação,19,28,Vendas,Júnior,14,4,76.0,Remoto,Bom,Moderado,Não,90.0,9,7.8,6.0,Alto,16,5,3,9,6,Não,Não,Sim,3145,34.9
EMP01899,64,Pós-graduação,0,21,Marketing,Gerente,10,13,82.0,Presencial,Adequado,Moderado,Sim,27.0,7,9.3,0.0,Moderado,2,4,6,8,9,Não,Sim,Sim,6612,26.3
EMP02020,65,Superior,16,23,TI,Júnior,12,1,229.0,Presencial,Bom,Moderado,Não,2.0,10,,7.0,Alto,5,5,3,2,5,Não,Não,Não,3914,25.8
EMP00171,48,Superior Incompleto,14,28,RH,Sênior,5,12,17.0,Remoto,Excelente,Moderado,Não,81.0,5,7.5,5.0,Moderado,10,2,6,3,2,Sim,Sim,Sim,7277,40.0
EMP00569,30,Ensino Médio,15,19,TI,Pleno,10,7,26.0,Remoto,Bom,Moderado,Sim,26.0,8,8.0,4.0,Moderado,14,1,5,4,9,Sim,Sim,Sim,7562,38.4
EMP01362,31,Superior Incompleto,17,16,RH,Sênior,15,10,44.0,Presencial,Excelente,Moderado,Sim,,9,9.2,2.0,Alto,20,9,2,9,4,Sim,Sim,Sim,1665,39.2
EMP02395,36,Superior,13,28,Marketing,Pleno,26,6,34.0,Remoto,Excelente,Moderado,Não,90.0,7,9.7,5.0,Alto,4,10,1,1,4,Não,Sim,Sim,8128,34.8
EMP00464,37,Superior Incompleto,17,29,Vendas,Pleno,4,9,55.0,Remoto,Excelente,Baixo,Sim,95.0,5,6.8,0.0,Muito Alto,9,9,2,6,5,Não,Sim,Não,2679,31.0
EMP00213,38,Superior,7,0,Operações,Júnior,27,5,77.0,Híbrido,Ruim,Moderado,Sim,13.0,2,6.8,7.0,Alto,8,8,9,3,10,Não,Sim,Não,678,22.5
EMP01573,53,Superior,6,1,Marketing,Sênior,21,15,56.0,Remoto,Excelente,Alto,Sim,53.0,8,6.3,2.0,Moderado,2,1,7,8,5,Sim,Sim,Sim,6097,37.5
EMP01539,40,Superior,4,4,Marketing,Júnior,11,0,16.0,Presencial,Bom,Baixo,Não,86.0,10,7.5,5.0,Alto,0,8,7,10,3,Não,Sim,Sim,3569,35.8
EMP01653,42,Superior,10,29,RH,Pleno,10,12,38.0,Híbrido,Adequado,Moderado,Sim,52.0,7,7.0,3.0,Alto,18,5,1,2,7,Sim,Sim,Não,5877,30.0
EMP01724,38,Superior Incompleto,15,29,Marketing,Coordenador,9,8,96.0,Híbrido,Bom,Moderado,Sim,3.0,2,4.7,7.0,Moderado,8,2,9,9,6,Não,Sim,Não,5249,33.8
EMP00297,24,Superior Incompleto,3,11,Vendas,Sênior,8,9,69.0,Remoto,Bom,Moderado,Sim,44.0,3,8.1,6.0,Moderado,9,9,1,8,10,Sim,Sim,Não,4218,39.1
EMP00931,26,Superior Incompleto,17,26,Financeiro,Júnior,9,0,106.0,Híbrido,Excelente,Moderado,Sim,35.0,6,5.8,1.0,Alto,19,9,3,1,1,Não,Não,Sim,3072,31.5
EMP02121,58,Ensino Médio,11,3,Marketing,Pleno,17,3,91.0,Remoto,Bom,Baixo,Sim,54.0,10,5.2,6.0,Moderado,6,8,1,1,8,Não,Não,Sim,7670,34.6
EMP01000,61,Ensino Médio,18,21,Marketing,Pleno,6,14,74.0,Remoto,Excelente,Moderado,Não,,6,7.0,2.0,Alto,17,5,7,5,6,Não,Não,Sim,355,40.0
EMP01085,44,Superior,13,3,Financeiro,Júnior,22,13,58.0,Híbrido,Bom,Baixo,Não,74.0,10,4.7,1.0,Baixo,16,2,3,9,4,Sim,Sim,Não,2057,34.2
EMP00509,31,Ensino Médio,5,15,TI,Coordenador,18,15,19.0,Remoto,Bom,Moderado,Sim,88.0,2,7.8,6.0,Moderado,16,7,3,4,6,Sim,Não,Não,9559,40.0
EMP00240,60,Superior Incompleto,0,18,Financeiro,Júnior,24,2,66.0,Híbrido,Excelente,Moderado,Não,94.0,7,9.2,4.0,Alto,8,10,6,5,9,Sim,Não,Não,7929,35.7
EMP80373,40,Superior,18,10,Financeiro,Júnior,11,15,95.0,Híbrido,Excelente,Moderado,Sim,88.0,4,5.4,3.0,Moderado,20,3,5,3,3,Não,Não,Não,8258,34.3
EMP00135,36,Superior Incompleto,18,9,TI,Júnior,10,8,22.0,Presencial,Adequado,Moderado,Sim,95.0,4,7.8,3.0,Moderado,16,3,2,3,8,Sim,Sim,Não,3651,40.0
EMP01876,57,Superior Incompleto,3,23,Financeiro,Coordenador,15,1,116.0,Híbrido,Excelente,Moderado,Sim,41.0,9,7.0,6.0,Alto,3,8,3,10,8,Não,Sim,Não,4018,36.8
EMP01592,36,Superior,5,16,Operações,Pleno,6,5,47.0,Remoto,Ruim,Alto,Não,18.0,1,5.9,1.0,Muito Alto,5,10,6,2,6,Sim,Sim,Sim,1626,24.0
EMP02472,32,Superior,14,24,Marketing,Sênior,26,6,114.0,Híbrido,Bom,Baixo,Não,53.0,4,9.0,3.0,Moderado,17,10,1,5,1,Não,Não,Não,6648,35.3
EMP02444,29,Superior Incompleto,3,0,Financeiro,Coordenador,26,4,120.0,Remoto,Bom,Moderado,Não,5.0,10,9.3,3.0,Alto,1,7,9,8,1,Não,Sim,Sim,7190,34.2
